Word,Phonetic,Frequency,Definition,Cloze Test,Chinese Definition,Unit
farming,[ˈfɑːmɪŋ],2 / 5,1. Farming is the activity of growing crops or keeping animals on a farm.,___ is the activity of growing crops or keeping animals on a farm.,耕种; 养殖,Unit 1
housing estate,[ˈhaʊzɪŋ ɪsteɪt],N/A,"1. a planned area of housing, often with its own shops and other amenities","a planned area of housing, often with its own shops and other amenities",统建住宅区,Unit 1
immigrant,[ˈɪmɪɡrənt],3 / 5,1. An immigrant is a person who has come to live in a country from some other country. Compare . (,An ___ is a person who has come to live in a country from some other country. Compare . (,外来) 移民,Unit 1
inner city,[ˌɪnə ˈsɪti],2 / 5,1. You use inner city to refer to the areas in or near the centre of a large city where people live and where there are often social and economic problems. (,You use ___ to refer to the areas in or near the centre of a large city where people live and where there are often social and economic problems. (,大城市的) 市中心区,Unit 1
middle class,[ˌmɪdl ˈklɑːs],3 / 5,"1. The middle class or middle classes are the people in a society who are not working class or upper class. Business people, managers, doctors, lawyers, and teachers are usually regarded as middle class. | 2. Middle class is also an adjective.","The ___ or middle classes are the people in a society who are not working class or upper class. Business people, managers, doctors, lawyers, and teachers are usually regarded as ___.",中产阶级 | 中产阶级的,Unit 1
neighbourhood,[ˈneɪbəhʊd],N/A,1. A neighbourhood is one of the parts of a town where people live. | 2. The neighbourhood of a place or person is the area or the people around them. | 3. In the neighbourhood of a number means approximately that number.,A ___ is one of the parts of a town where people live.,居住区 | 附近 | 大约为 | 在…附近,Unit 1
outskirts,N/A,N/A,The outskirts of a city or town are the parts of it that are farthest away from its centre.,The ___ of a city or town are the parts of it that are farthest away from its centre., (市、镇的) 外围地带,Unit 1
province,[ˈprɒvɪns],3 / 5,"1. A province is a large section of a country that has its own administration. | 2. The provinces are all the parts of a country except the part where the capital is situated. | 3. If you say that a subject or activity is a particular person's province , you mean that this person has a special interest in it, a special knowledge of it, or a special responsibility for it. (",A ___ is a large section of a country that has its own administration.,省 | 外省 | 学识或活动的) 领域; (兴趣或职责的) 范围,Unit 1
rent,[rent],3 / 5,"1. If you rent something, you regularly pay its owner a sum of money in order to be able to have it and use it yourself. | 2. If you rent something to someone, you let them have it and use it in exchange for a sum of money which they pay you regularly. | 3. Rent out means the same as .","If you ___ something, you regularly pay its owner a sum of money in order to be able to have it and use it yourself.",租; 租借 | 租给; 出租 | 租给; 出租 | 租金; 房租 | 缝; 裂缝 | 待租的; 供出租的,Unit 1
resident,[ˈrezɪdənt],4 / 5,1. The residents of a house or area are the people who live there. | 2. Someone who is resident in a country or a town lives there. | 3. A resident or a resident doctor is a doctor who is receiving a period of specialized training in a hospital after completing his or her internship.,The residents of a house or area are the people who live there.,居民 | 居住的 | 住院医师,Unit 1
rough,[rʌf],3 / 5,"1. If a surface is rough , it is uneven and not smooth. | 2. roughness | 3. You say that people or their actions are rough when they use too much force and not enough care or gentleness.","If a surface is ___ , it is uneven and not smooth.",粗糙的 | 粗糙 | 粗暴的; 粗野的 | 粗暴地; 粗野地 | 治安) 乱的 | 艰难的 | 粗略的 | 粗略地 | 大致的 | 大致地 | 粗糙的 | 粗糙地 | 风浪大的 | 将就,Unit 1
run-down,[ˌrʌn ˈdaʊn],1 / 5,"1. If someone is run-down , they are tired or slightly ill. | 2. A run-down building or area is in very poor condition. ( | 3. A run-down place of business is not as active as it used to be or does not have many customers.","If someone is ___ , they are tired or slightly ill.",疲惫的; 略感不适的 | 房屋等) 破败的 | 萧条的 | 详细情况,Unit 1
safe,[seɪf],4 / 5,"1. Something that is safe does not cause physical harm or danger. | 2. If a person or thing is safe from something, they cannot be harmed or damaged by it. | 3. If you are safe , you have not been harmed, or you are not in danger of being harmed.",Something that is ___ does not cause physical harm or danger.,安全的 | 不会受损伤的 | 未受伤害的; 安全的 | 未受伤害地; 安全地 | 地方) 安全的 | 安全地 | 旅途) 平安的 | 平安地 | 距离) 安全的 | 保险的; 不会失去的 | 稳妥的; 风险小的 | 稳妥地; 风险小地 | 有把握的 | 有把握地 | 保险柜 | 得到 (某可靠之人的) 妥善照顾 | 万无一失 | 为保险起见 | 免吃后悔药 | 安然无恙地,Unit 1
seaside,[ˈsiːsaɪd],1 / 5,"1. You can refer to an area that is close to the sea, especially one where people go for their holiday, as the seaside . (","You can refer to an area that is close to the sea, especially one where people go for their holiday, as the ___ . (",尤指作为度假地的) 海边,Unit 1
suburb,[ˈsʌbɜːb],2 / 5,"1. A suburb of a city or large town is a smaller area which is part of the city or large town but is outside its centre. | 2. If you live in the suburbs , you live in an area of houses outside the centre of a city or large town.",A ___ of a city or large town is a smaller area which is part of the city or large town but is outside its centre.,市郊 | 郊区,Unit 1
surroundings,[səˈraʊndɪŋz],2 / 5,"1. When you are describing the place where you are at the moment, or the place where you live, you can refer to it as your surroundings .","When you are describing the place where you are at the moment, or the place where you live, you can refer to it as your ___ .",环境,Unit 1
trendy,[ˈtrendi],1 / 5,"1. If you say that something or someone is trendy , you mean that they are very fashionable and modern.","If you say that something or someone is ___ , you mean that they are very fashionable and modern.",时髦的,Unit 1
woodland,[ˈwʊdlənd],2 / 5,1. Woodland is land with a lot of trees.,___ is land with a lot of trees.,林地,Unit 1
working class,[ˌwɜːkɪŋ ˈklɑːs],2 / 5,"1. The working class or the working classes are the group of people in a society who do not own much property, who have low social status, and who do jobs that involve using physical skills rather than intellectual skills. | 2. Working class is also an adjective.","The ___ or the working classes are the group of people in a society who do not own much property, who have low social status, and who do jobs that involve using physical skills rather than intellectual skills.",工人阶级 | 工人阶级的,Unit 1
